wilayah,kategori_kendaraan,tahun,jumlah_kendaraan,lag_1,lag_2,growth,tipe
KABUPATEN BANDUNG,0,2021,119820.0,0.0,0.0,0.0,historis
KABUPATEN BANDUNG,0,2021,119820.0,119820.0,0.0,0.0,historis
KABUPATEN BANDUNG,0,2021,119820.0,119820.0,119820.0,0.0,historis
KABUPATEN BANDUNG,0,2021,119820.0,119820.0,119820.0,0.0,historis
KABUPATEN BANDUNG,0,2021,119820.0,119820.0,119820.0,0.0,historis
KABUPATEN BANDUNG,0,2021,119820.0,119820.0,119820.0,0.0,historis
KABUPATEN BANDUNG,0,2021,119820.0,119820.0,119820.0,0.0,historis
KABUPATEN BANDUNG,0,2021,119820.0,119820.0,119820.0,0.0,historis
KABUPATEN BANDUNG,0,2021,119820.0,119820.0,119820.0,0.0,historis
KABUPATEN BANDUNG,0,2021,119820.0,119820.0,119820.0,0.0,historis
KABUPATEN BANDUNG,0,2021,119820.0,119820.0,119820.0,0.0,historis
KABUPATEN BANDUNG,0,2022,125496.0,119820.0,119820.0,0.0,historis
KABUPATEN BANDUNG,0,2022,125496.0,125496.0,119820.0,0.047371056584877315,historis
KABUPATEN BANDUNG,0,2022,125496.0,125496.0,125496.0,0.0,historis
KABUPATEN BANDUNG,0,2023,130443.0,125496.0,125496.0,0.0,historis
KABUPATEN BANDUNG,0,2023,130443.0,130443.0,125496.0,0.03941958309428189,historis
KABUPATEN BANDUNG,0,2023,130443.0,130443.0,130443.0,0.0,historis
KABUPATEN BANDUNG,0,2023,130443.0,130443.0,130443.0,0.0,historis
KABUPATEN BANDUNG,0,2023,130443.0,130443.0,130443.0,0.0,historis
KABUPATEN BANDUNG,0,2023,130443.0,130443.0,130443.0,0.0,historis
KABUPATEN BANDUNG,0,2023,130443.0,130443.0,130443.0,0.0,historis
KABUPATEN BANDUNG,0,2023,130443.0,130443.0,130443.0,0.0,historis
KABUPATEN BANDUNG,0,2023,130443.0,130443.0,130443.0,0.0,historis
KABUPATEN BANDUNG,0,2023,130443.0,130443.0,130443.0,0.0,historis
KABUPATEN BANDUNG,0,2023,130443.0,130443.0,130443.0,0.0,historis
KABUPATEN BANDUNG,0,2023,130443.0,130443.0,130443.0,0.0,historis
KABUPATEN BANDUNG,0,2023,130443.0,130443.0,130443.0,0.0,historis
KABUPATEN BANDUNG,0,2023,130443.0,130443.0,130443.0,0.0,historis
KABUPATEN BANDUNG,0,2023,130443.0,130443.0,130443.0,0.0,historis
KABUPATEN BANDUNG,0,2024,133007.0,130443.0,130443.0,0.0,historis
KABUPATEN BANDUNG,0,2024,133007.0,133007.0,130443.0,0.019656094999348374,historis
KABUPATEN BANDUNG,0,2024,133007.0,133007.0,133007.0,0.0,historis
