id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,mobil_penumpang,sepeda_motor,mobil_bus,mobil_barang,jumlah_kendaraan,satuan,tahun
,32,JAWA BARAT,,Bogor,,,,,,UNIT,2016
,32,JAWA BARAT,,Sukabumi,,,,,,UNIT,2016
,32,JAWA BARAT,,Cianjur,,,,,,UNIT,2016
,32,JAWA BARAT,,Bandung,,,,,,UNIT,2016
,32,JAWA BARAT,,Garut,,,,,,UNIT,2016
,32,JAWA BARAT,,Tasikmalaya,,,,,,UNIT,2016
,32,JAWA BARAT,,Ciamis,,,,,,UNIT,2016
,32,JAWA BARAT,,Kuningan,,,,,,UNIT,2016
,32,JAWA BARAT,,Cirebon,,,,,,UNIT,2016
,32,JAWA BARAT,,Majalengka,,,,,,UNIT,2016
,32,JAWA BARAT,,Sumedang,,,,,,UNIT,2016
,32,JAWA BARAT,,Indramayu,,,,,,UNIT,2016
,32,JAWA BARAT,,Subang,,,,,,UNIT,2016
,32,JAWA BARAT,,Purwakarta,,,,,,UNIT,2016
,32,JAWA BARAT,,Karawang,,,,,,UNIT,2016
,32,JAWA BARAT,,Bekasi,,,,,,UNIT,2016
,32,JAWA BARAT,,Bandung Barat,,,,,,UNIT,2016
,32,JAWA BARAT,,Pangandaran,,,,,,UNIT,2016
,32,JAWA BARAT,,Kota Bogor,,,,,,UNIT,2016
,32,JAWA BARAT,,Kota Sukabumi,,,,,,UNIT,2016
,32,JAWA BARAT,,Kota Bandung,,,,,,UNIT,2016
,32,JAWA BARAT,,Kota Cirebon,,,,,,UNIT,2016
,32,JAWA BARAT,,Kota Bekasi,,,,,,UNIT,2016
,32,JAWA BARAT,,Kota Depok,,,,,,UNIT,2016
,32,JAWA BARAT,,Kota Cimahi,,,,,,UNIT,2016
,32,JAWA BARAT,,Kota Tasikmalaya,,,,,,UNIT,2016
,32,JAWA BARAT,,Kota Banjar,,,,,,UNIT,2016
,32,JAWA BARAT,,Jawa Barat,,,,,,UNIT,2016
103.0,0,0,0.0,KOTA CIREBON,30541,130179,434,12076,,UNIT,2024
52.0,32,JAWA BARAT,3277.0,KOTA CIMAHI,46876,239042,246,6616,,UNIT,2022
93.0,0,0,0.0,KABUPATEN INDRAMAYU,40876,476930,801,17308,,UNIT,2024
15.0,32,JAWA BARAT,3215.0,KABUPATEN KARAWANG,89817,733791,1375,29151,,UNIT,2021
107.0,0,0,0.0,KOTA TASIKMALAYA,30412,205759,1227,12614,,UNIT,2024
72.0,32,JAWA BARAT,3218.0,KABUPATEN PANGANDARAN,7242,78671,49,4174,,UNIT,2023
61.0,32,JAWA BARAT,3207.0,KABUPATEN CIAMIS,24733,248580,867,11538,,UNIT,2023
21.0,32,JAWA BARAT,3273.0,KOTA BANDUNG,368406,1112336,5654,66345,,UNIT,2021
103.0,0,0,0.0,KOTA CIREBON,30541,130179,434,12076,,UNIT,2024
83.0,0,0,0.0,KABUPATEN SUKABUMI,46152,486781,498,20496,,UNIT,2024
87.0,0,0,0.0,KABUPATEN TASIKMALAYA,24984,299419,653,11203,,UNIT,2024
75.0,32,JAWA BARAT,3273.0,KOTA BANDUNG,378111,1113142,5688,65742,,UNIT,2023
75.0,32,JAWA BARAT,3273.0,KOTA BANDUNG,378111,1113142,5688,65742,,UNIT,2023
88.0,0,0,0.0,KABUPATEN CIAMIS,25541,247576,831,11544,,UNIT,2024
100.0,0,0,0.0,KOTA BOGOR,96220,372957,634,11663,,UNIT,2024
104.0,0,0,0.0,KOTA BEKASI,311207,1145967,2606,54344,,UNIT,2024
24.0,32,JAWA BARAT,3276.0,KOTA DEPOK,186204,919479,727,18954,,UNIT,2021
3.0,32,JAWA BARAT,3203.0,KABUPATEN CIANJUR,38217,407425,647,18949,,UNIT,2021
22.0,32,JAWA BARAT,3274.0,KOTA CIREBON,29501,130628,415,12540,,UNIT,2021
53.0,32,JAWA BARAT,3278.0,KOTA TASIKMALAYA,28825,201379,1302,12231,,UNIT,2022
2.0,32,JAWA BARAT,3202.0,KABUPATEN SUKABUMI,40188,467256,454,19983,,UNIT,2021
88.0,0,0,0.0,KABUPATEN CIAMIS,25541,247576,831,11544,,UNIT,2024
108.0,0,0,0.0,KOTA BANJAR,6288,58452,61,2428,,UNIT,2024
30.0,32,JAWA BARAT,3203.0,KABUPATEN CIANJUR,40053,410835,641,19337,,UNIT,2022
38.0,32,JAWA BARAT,3211.0,KABUPATEN SUMEDANG,25420,285436,355,9632,,UNIT,2022
2.0,32,JAWA BARAT,3202.0,KABUPATEN SUKABUMI,40188,467256,454,19983,,UNIT,2021
64.0,32,JAWA BARAT,3210.0,KABUPATEN MAJALENGKA,26137,336793,853,12145,,UNIT,2023
60.0,32,JAWA BARAT,3206.0,KABUPATEN TASIKMALAYA,24100,294016,649,11336,,UNIT,2023
21.0,32,JAWA BARAT,3273.0,KOTA BANDUNG,368406,1112336,5654,66345,,UNIT,2021
33.0,32,JAWA BARAT,3206.0,KABUPATEN TASIKMALAYA,23041,286980,636,11416,,UNIT,2022
76.0,32,JAWA BARAT,3274.0,KOTA CIREBON,30460,130647,418,12363,,UNIT,2023
58.0,32,JAWA BARAT,3204.0,KABUPATEN BANDUNG,130443,973384,984,38386,,UNIT,2023
22.0,32,JAWA BARAT,3274.0,KOTA CIREBON,29501,130628,415,12540,,UNIT,2021
108.0,0,0,0.0,KOTA BANJAR,6288,58452,61,2428,,UNIT,2024
89.0,0,0,0.0,KABUPATEN KUNINGAN,30168,313928,568,9084,,UNIT,2024
49.0,32,JAWA BARAT,3274.0,KOTA CIREBON,29964,130009,411,12426,,UNIT,2022
91.0,0,0,0.0,KABUPATEN MAJALENGKA,26935,333073,848,11850,,UNIT,2024
